epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,693.223,1.47301,1.05721,1.10487,0.5464,0.50301,0.5205,0.22524,1.99079,1.47229,1.44987,0.000973861,0.000973861,0.000973861
44,709.056,1.46997,1.04572,1.11049,0.53453,0.58176,0.55497,0.22482,2.06708,1.3657,1.58735,0.000957358,0.000957358,0.000957358
45,725.038,1.46797,1.04409,1.09246,0.37081,0.47278,0.3566,0.15623,2.13604,1.64642,1.59534,0.000940855,0.000940855,0.000940855
46,740.814,1.46265,1.03316,1.09851,0.42428,0.43882,0.37291,0.16042,2.12937,1.60137,1.58563,0.000924352,0.000924352,0.000924352
47,756.812,1.44132,1.01483,1.08272,0.4922,0.54984,0.51679,0.21873,1.98022,1.48211,1.44594,0.000907848,0.000907848,0.000907848
48,772.701,1.48383,1.04152,1.09669,0.54273,0.5649,0.51782,0.23033,2.00248,1.44679,1.50399,0.000891345,0.000891345,0.000891345
49,788.659,1.45338,1.0184,1.09314,0.51239,0.55523,0.47991,0.21486,1.98751,1.50372,1.516,0.000874842,0.000874842,0.000874842
50,804.54,1.44629,1.03129,1.08774,0.58411,0.64353,0.59876,0.27604,1.87734,1.3012,1.46298,0.000858338,0.000858338,0.000858338
51,820.722,1.43387,1.01635,1.08461,0.56413,0.63149,0.58499,0.25603,1.90123,1.32412,1.46349,0.000841835,0.000841835,0.000841835
52,836.625,1.42874,1.01301,1.08658,0.46629,0.42755,0.37871,0.16729,2.34184,1.93729,2.05396,0.000825332,0.000825332,0.000825332
53,852.592,1.43238,1.00942,1.08658,0.52681,0.56643,0.52424,0.22989,1.97652,1.42653,1.45911,0.000808828,0.000808828,0.000808828
54,868.55,1.44271,1.00005,1.08059,0.5299,0.56944,0.54114,0.23987,1.95358,1.42007,1.47278,0.000792325,0.000792325,0.000792325
55,884.432,1.42247,0.99211,1.07421,0.48362,0.60702,0.56026,0.2428,2.01241,1.43031,1.42983,0.000775822,0.000775822,0.000775822
56,900.286,1.40774,0.98174,1.06801,0.58022,0.64951,0.59516,0.26472,1.90705,1.33997,1.46303,0.000759318,0.000759318,0.000759318
57,916.157,1.39324,0.98742,1.07204,0.56082,0.57711,0.56908,0.24905,1.97779,1.37765,1.50254,0.000742815,0.000742815,0.000742815
58,931.968,1.41399,0.99367,1.07456,0.42771,0.52711,0.43782,0.17878,2.10215,1.56784,1.48388,0.000726312,0.000726312,0.000726312
59,948.008,1.4108,0.98237,1.07906,0.63892,0.60981,0.62439,0.28177,1.87767,1.27211,1.44016,0.000709809,0.000709809,0.000709809
60,964.077,1.42414,0.97741,1.08179,0.55061,0.52946,0.52435,0.23443,1.99303,1.54474,1.50214,0.000693305,0.000693305,0.000693305
61,979.993,1.39777,0.97698,1.0712,0.59115,0.60737,0.60522,0.26881,1.92201,1.34959,1.42761,0.000676802,0.000676802,0.000676802
62,995.838,1.36742,0.9645,1.06073,0.59435,0.6736,0.60256,0.28298,1.87054,1.30639,1.48392,0.000660299,0.000660299,0.000660299
63,1011.74,1.39565,0.95259,1.06514,0.55081,0.61242,0.56012,0.24422,1.93101,1.40692,1.45613,0.000643795,0.000643795,0.000643795
64,1027.63,1.3688,0.95098,1.06367,0.58229,0.64808,0.58535,0.26961,1.91136,1.3214,1.45801,0.000627292,0.000627292,0.000627292
65,1043.56,1.34952,0.92896,1.06256,0.59534,0.64625,0.61018,0.29175,1.86556,1.24507,1.43327,0.000610789,0.000610789,0.000610789
66,1059.55,1.35781,0.9275,1.05534,0.6324,0.63888,0.61231,0.27477,1.89193,1.26761,1.46048,0.000594286,0.000594286,0.000594286
67,1075.37,1.36001,0.9394,1.0618,0.56165,0.63302,0.57852,0.25578,1.95502,1.33961,1.46502,0.000577782,0.000577782,0.000577782
68,1091.19,1.35749,0.92463,1.06234,0.59745,0.54825,0.58232,0.27107,1.88785,1.38521,1.46545,0.000561279,0.000561279,0.000561279
69,1107.11,1.35458,0.92672,1.04275,0.59985,0.5417,0.55875,0.26346,1.87934,1.38373,1.43057,0.000544776,0.000544776,0.000544776
70,1122.88,1.34075,0.9036,1.05068,0.65071,0.62289,0.61369,0.27373,1.93327,1.25782,1.45573,0.000528272,0.000528272,0.000528272
71,1138.73,1.33285,0.90466,1.04197,0.63764,0.59375,0.61206,0.28603,1.85823,1.29683,1.43138,0.000511769,0.000511769,0.000511769
72,1154.56,1.33855,0.8957,1.05302,0.67462,0.59633,0.6443,0.29119,1.89389,1.26627,1.4327,0.000495266,0.000495266,0.000495266
73,1170.64,1.32196,0.89187,1.03381,0.61079,0.69697,0.64383,0.3002,1.89854,1.21488,1.47747,0.000478762,0.000478762,0.000478762
74,1186.69,1.31814,0.89292,1.02979,0.63877,0.65585,0.64053,0.30806,1.86037,1.22543,1.4314,0.000462259,0.000462259,0.000462259
75,1202.86,1.2963,0.87513,1.03009,0.63544,0.61111,0.6231,0.29082,1.87316,1.27271,1.46223,0.000445756,0.000445756,0.000445756
76,1218.68,1.30436,0.8718,1.04308,0.62636,0.57097,0.59552,0.26516,1.93496,1.30466,1.47122,0.000429253,0.000429253,0.000429253
77,1234.65,1.32508,0.89461,1.04389,0.60582,0.62837,0.62283,0.28436,1.90397,1.27582,1.45349,0.000412749,0.000412749,0.000412749
78,1250.49,1.30657,0.89035,1.0386,0.5606,0.66161,0.58641,0.2618,1.93361,1.26564,1.4961,0.000396246,0.000396246,0.000396246
79,1266.39,1.29525,0.87358,1.03183,0.60874,0.62852,0.61195,0.29339,1.83957,1.2199,1.43608,0.000379743,0.000379743,0.000379743
