epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,363.792,1.68285,1.11539,1.24968,0.62778,0.62476,0.60538,0.25034,1.9552,1.38679,1.47541,0.000742815,0.000742815,0.000742815
44,372.104,1.62746,1.09712,1.27149,0.59883,0.63407,0.59784,0.27248,1.92137,1.30656,1.43698,0.000720811,0.000720811,0.000720811
45,380.623,1.62834,1.10421,1.25468,0.6261,0.61046,0.58854,0.24767,1.99124,1.31396,1.43268,0.000698806,0.000698806,0.000698806
46,388.913,1.61563,1.10986,1.2409,0.65149,0.59618,0.61041,0.25382,1.94986,1.33202,1.43433,0.000676802,0.000676802,0.000676802
47,397.304,1.6647,1.1031,1.2641,0.61675,0.7099,0.62368,0.28305,1.84154,1.27106,1.40497,0.000654798,0.000654798,0.000654798
48,405.799,1.5922,1.05516,1.23155,0.62051,0.61619,0.6265,0.28027,1.87726,1.27866,1.42272,0.000632793,0.000632793,0.000632793
49,414.059,1.59456,1.05531,1.21652,0.63884,0.6507,0.61458,0.27776,1.83203,1.30062,1.4342,0.000610789,0.000610789,0.000610789
50,422.322,1.58789,1.06187,1.23348,0.62226,0.66029,0.60704,0.26991,2.01252,1.28105,1.50124,0.000588784,0.000588784,0.000588784
51,430.608,1.56429,1.05102,1.21413,0.67751,0.65008,0.66027,0.29413,1.87668,1.24179,1.42096,0.00056678,0.00056678,0.00056678
52,439.12,1.64381,1.09701,1.29593,0.61323,0.65573,0.59986,0.26761,1.97083,1.35829,1.45703,0.000544776,0.000544776,0.000544776
53,447.411,1.62041,1.0536,1.24712,0.70859,0.65367,0.66446,0.29263,1.88108,1.24922,1.42469,0.000522771,0.000522771,0.000522771
54,455.652,1.56144,1.03426,1.22582,0.62627,0.65092,0.62684,0.27794,1.84433,1.26558,1.41654,0.000500767,0.000500767,0.000500767
55,463.983,1.53552,0.99415,1.19445,0.67134,0.61955,0.65043,0.29484,1.87766,1.2483,1.41614,0.000478762,0.000478762,0.000478762
56,472.291,1.53663,1.01932,1.20722,0.67363,0.66502,0.64171,0.29239,1.89348,1.22907,1.42394,0.000456758,0.000456758,0.000456758
57,480.578,1.55368,1.00502,1.21791,0.64904,0.67691,0.63146,0.27577,1.87631,1.252,1.42216,0.000434754,0.000434754,0.000434754
58,488.876,1.5694,1.01383,1.19709,0.6265,0.67745,0.64653,0.28631,1.86509,1.24707,1.41944,0.000412749,0.000412749,0.000412749
